2017,9995,-1,15218,0,1.0
2017,10250,-1,20991,0,1.0
2018,11295,-1,17306,0,1.0
2019,18299,0,5407,0,2.0
2016,9799,-1,32928,0,1.2
2017,10495,-1,18744,0,1.0
2016,10495,-1,25476,0,1.0
2016,9250,-1,16921,0,1.0
2017,10495,-1,27785,0,1.2
2020,13995,-1,3168,0,1.0
2017,12995,0,12000,0,1.2
2018,12995,-1,7997,0,1.0
2016,10495,0,33958,0,1.2
2017,11588,-1,9718,0,1.2
2017,9495,-1,23260,0,1.0
2017,11495,-1,28221,1,1.4
2016,9495,-1,28404,1,1.4
2018,15495,-1,7257,0,1.0
2017,13000,-1,16153,0,1.8
2014,7000,-1,20048,0,1.0
2017,13495,0,6317,0,1.2
2016,9250,-1,16921,0,1.0
2017,12995,0,12000,0,1.2
2017,11495,-1,28221,1,1.4
2016,10495,-1,25476,0,1.0
2018,12995,-1,7997,0,1.0
2016,10495,0,33958,0,1.2
2017,10495,-1,18744,0,1.0
2016,12695,0,26278,0,1.4
2017,8995,-1,12301,0,1.0
2018,16995,0,16940,0,2.0
2016,8798,-1,17399,0,1.0
2019,15995,-1,6781,0,1.0
2019,11990,-1,12042,0,1.0
2017,9495,-1,23260,0,1.0
2017,10495,-1,27785,0,1.2
2020,13995,-1,3168,0,1.0
2018,11295,-1,17306,0,1.0
2018,10490,-1,28200,0,1.0
2019,17990,0,6728,0,2.0
2018,15495,-1,7257,0,1.0
2016,9495,-1,28404,1,1.4
2018,14995,0,9535,0,1.0
2016,9698,-1,15512,0,1.0
2017,10995,-1,26610,0,1.2
2016,9298,-1,31516,0,1.2
2016,6790,-1,51002,0,1.0
2018,11990,-1,17654,0,1.0
2020,15990,-1,752,1,1.6
2016,8998,-1,21276,0,1.0
2017,9498,-1,25567,0,1.2
2018,14995,0,9535,0,1.0
2014,6472,-1,45622,0,1.2
2017,9998,-1,23739,0,1.0
2015,8498,-1,38502,0,1.2
2019,15495,0,5136,0,1.0
2016,10450,-1,18919,0,1.2
2019,13495,-1,6789,0,1.0
2017,10495,-1,29358,0,1.2
2018,13295,-1,16283,0,1.0
2014,8298,0,52651,0,1.2
2016,8298,-1,42401,0,1.2
2017,11995,0,31423,0,1.2
2019,15495,-1,1000,1,1.6
2016,12698,0,28135,0,1.4
2018,12495,-1,19000,0,1.0
2017,11995,0,31423,0,1.2
2015,8698,-1,24208,0,1.2
2019,19498,0,5505,0,2.0
2019,13495,-1,6789,0,1.0
2017,10495,-1,29358,0,1.2
2018,13295,-1,16283,0,1.0
2019,13995,-1,1000,0,1.0
2019,13995,-1,1000,0,1.0
2018,12495,-1,19000,0,1.0
2016,8498,-1,26001,0,1.0
2017,9998,-1,22785,0,1.0
2020,11995,-1,18754,0,1.0
2017,9998,-1,26022,0,1.0
2017,11998,0,15209,0,1.2
2016,8698,-1,33098,0,1.0
2017,8298,-1,23252,0,1.0
2017,12698,-1,38020,0,1.8
2016,8998,-1,21998,0,1.0
2015,7998,-1,16216,0,1.0
2019,15495,-1,1000,1,1.6
2015,7498,-1,22208,0,1.0
2017,9698,-1,32233,0,1.2
2016,8295,-1,29391,0,1.0
2015,8498,-1,22863,0,1.0
2016,8498,-1,29577,0,1.0
2013,6498,-1,37047,0,1.2
2016,8998,-1,17763,0,1.0
2016,10298,-1,33409,0,1.0
2016,9998,-1,17249,0,1.2
2017,10498,-1,5341,0,1.0
2017,9998,-1,23858,0,1.0
